Europe,Serbia,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Serbia,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Serbia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,,,,,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Europe,Serbia,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 549,,,,,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Europe,Serbia,alt-HQ,David,Backup Vendor,Local EOR ,,,,,,,"• 8% of total payroll turnover for salary up to EUR 4,000
• 5% of total payroll turnover for salary higher than EUR 4,000",EUR 300,1 month invoice,EUR 150,N/A,"• Partner provides immigration solutions
• Social contribution rate is same for local and expat",,Direct Entity,,info@alt-hq.com,alt-HQ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1tibIVmp4AaD6TlSEeC4ISQcbi2r1XjTjVSkBJoVClp0/edit,7/15/2026,
Africa,Serbia,NH Consulting,David,Preferred Vendor,Local EOR,USD 700 - 800,USD 0 - equivalent of service fee,1 month salary,N/A,,,USD 550 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month,EUR 150 ,20% of total invoice,,,Direct Entity,Established Contact,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,6/4/2026,
Africa,Serbia,NH Consulting,David,Backup Vendor,Expat EOR,USD 700 - 800,USD 0 - equivalent of service fee,1 month,N/A,,,USD 550 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month,EUR 150 ,20% of total invoice,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Direct Entity,Established Contact,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,6/4/2026,
Africa,Sierra Leone,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 400,USD 200,N/A,USD 200,15% on service fee,12/23/2025,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Sierra Leone,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 600,USD 200,N/A,USD 200,15% on service fee,12/23/2025,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Sierra Leone,Workpay,David,Backup Vendor,Local EOR ,,,,,,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Sierra Leone,Workpay,David,Backup Vendor,Expat EOR,,,,,,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Sierra Leone,Kharis Global Group ,David,Backup Vendor,Local EOR ,,,,,,,USD 200,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Sierra Leone,Kharis Global Group ,David,Backup Vendor,Expat EOR,,,,,,,USD 250,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Sierra Leone,Remote Solutions Africa ,David,Preferred Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Sierra Leone,Remote Solutions Africa ,David,Preferred Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Asia,Singapore,Rivermate,David,Backup Vendor,Local EOR ,,,,,,,USD 350,Waived,1 month,"Waived for placements over 6 months, or 1 month service fee for placements under 6 months",8% on service fee,12/23/2025,EOS,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,Singapore,Rivermate,David,Backup Vendor,Expat EOR,,,,,,,"USD 1,150",USD 500,1 month,"Waived for placements over 6 months, or 1 month service fee for placements under 6 months",8% on service fee,12/23/2025,EOS,Direct Entity,Cannot offer service due to compliance reasons,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,Singapore,Tarmack,David,,Local EOR ,,,,,,,"• USD199 (1 to 5) 
• USD 179 (6 to 10) 
• USD 159 (11+)",TBC,TBC,TBC,TBC,,,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,"June 10, 2026",
Asia,Singapore,Remote,David,Backup Vendor,Local EOR ,,,,,,,USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,12/23/2025,RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,Singapore,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 199,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Singapore,Horizons,David,Backup Vendor,Expat EOR,,,,,,,Locked per law ,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",12/23/2025,HRZ,Direct Entity,Cannot offer service due to compliance reasons,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Singapore,Procloz,David,,Expat EOR,,,,,,,USD 550,N/A,1 month,N/A,N/A,12/23/2025,PRO,Direct Entity,Cannot offer service due to compliance reasons,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Europe,Slovakia,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Slovakia,Acvian,David,Backup Vendor,Local EOR ,,,,,,,"• EUR 375
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,"• Off-cycle payment out of payroll run - EUR 150.00 per transaction
• Partner can support visa sponsorship",ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1FnxuLNnvsNjtofU3yPF8sbdGZUKI7vIGO_aid6WGQCM/edit,6/4/2026,Tier 2
Europe,Slovakia,Acvian,David,Backup Vendor,Expat EOR,,,,,,,"• EUR 375
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,"• Off-cycle payment out of payroll run - EUR 150.00 per transaction
• Partner can support visa sponsorship",ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1FnxuLNnvsNjtofU3yPF8sbdGZUKI7vIGO_aid6WGQCM/edit,6/4/2026,Tier 2
Europe,Slovakia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Slovakia,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Slovakia,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Slovakia,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Slovakia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Europe,Slovakia,Synergie,David,,Local EOR ,,,,,,,9%,"• EU foreigner - EUR 100 / CZK 3,000
• Non-EU foreigner - EUR 1,200 / CZK 35,000 + government fees and translations",,N/A,No,,,Direct Entity,,pavlisko@synergie.sk,Jaroslav Pavlisko,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1J_vew8AbHlnAiAi8Qngy2IqA55_FGVPddMgko5QeJ2I/edit,"June 17, 2026",Tier 0
Europe,Slovenia,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Slovenia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Slovenia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Europe,Slovenia,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Slovenia,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Slovenia,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,• Provides visa sponsorship,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Africa,Somalia,Workforce Africa,David,Preferred Vendor,Local EOR ,USD 550 - 650,USD 350 - equivalent of service fee,1 month salary,USD 350,7.5% on service fee,,USD 400,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Somalia,Workforce Africa,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 350 - equivalent of service fee,1 month salary,USD 350,7.5% on service fee,,USD 450,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2025",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Somalia,Workpay,David,Backup Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 520,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Africa,Somalia,Workpay,David,Backup Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 520,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Africa,South Africa,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Africa,South Africa,Workforce Africa,David,,Local EOR ,,,,,,,USD 400,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2077",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,South Africa,Workforce Africa,David,,Expat EOR,,,,,,,USD 450,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2078",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,South Africa,DNA HR & Payroll Visionaries,David,,Local EOR ,,,,,,,8%,N/A,,N/A,Not if pay from Singapore,,,Direct Entity,,annelie@dnaoutsourcing.com,Annelie Visser,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qKxW2TWkgbOhv6uAcFA5SL21U5QkPKiWRmfdJGINZhM/edit,"July 15, 2026",
Africa,South Africa,Trans Skills,David,,Local EOR ,,,,,,,"EUR 235
• 1.5% on bonus and reimbursement",EUR 235,2 months,N/A,N/A,"if headcount is above 10, service fee can be discounted ",TRS,Direct Entity,,charles.dawson@transskills.com,Charles Dawson,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1_xVbd68M01bbEusv8LOtQ7njrINL43C5x7I3Feg-7Eg/edit,"July 15, 2026",
Africa,South Africa,Trans Skills,David,,Expat EOR,,,,,,,"EUR 375
• 1.5% on bonus and reimbursement",EUR 375,2 months,N/A,N/A,"if headcount is above 10, service fee can be discounted ",TRS,Direct Entity,,charles.dawson@transskills.com,Charles Dawson,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1_xVbd68M01bbEusv8LOtQ7njrINL43C5x7I3Feg-7Eg/edit,"July 15, 2026",
Africa,South Africa,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Africa,South Africa,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Africa,South Africa,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Africa,South Africa,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Africa,South Africa,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Africa,South Africa,Workpay,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Africa,South Africa,Workpay,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,"July 15, 2026",Tier 2
Africa,South Africa,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Africa,South Africa,Horizons,David,Backup Vendor,Expat EOR,,,,,,,USD 499,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Africa,South Africa,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Africa,South Africa,Employ Africa Group,David,,Local EOR ,,,,,,,USD 250,N/A,N/A,N/A,15% on TEC,"• Have direct entity in Mozambique, Côte d’Ivoire, Tunisia, Kenya, Chad, Angola",EAG,Direct Entity,,janine@employ-africa.com,Janine Shortt,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Z7MO5hB6JgipuF2kMmiD6wjXSUefToPnO34cHZd3bxM/edit,"July 15, 2026",
Africa,South Africa,Africa HR Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 350,USD 350 ,1 month,USD 90/EE,,third-party expenses and disbursements are charged by Africa HR Solutions at cost + 10%.,,Direct Entity,Established Contact,ggeraghty@africa-hr.com,Grant Geraghty,"5 June, 2026",Active,https://docs.google.com/spreadsheets/d/16l8VyrJGEBOUb3_o77qAv4YEy0q7AgTQuRDgskl7-3Y/edit,"June 17, 2026",
Asia,South Korea,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Asia,South Korea,Azure Global,David,,Local EOR ,,,,,,,"• USD 525 - salary up tp USD 5,000 / pax
• USD 729 - salary up to USD 8,000 / pax
• USD 1,300 - salary higher than USD 8,000 / pax",N/A,1 month,N/A,,,AZR,Unknown,,Ian@azureglobal.com,Ian Campbell,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/15NFhmwxb0MYodBdJq1TTiYfRMYW1y5Itge202TLAZEo/edit,"July 15, 2026",
